BD-S002
BD-S003
BD-S004
105,reentry=1,0206272680-0-01,93.11,1.33
106,reentry=1,0206202680-0-01,94.44,1.33
107,reentry=1,0206192680-0-01,95.77,1.33
108,reentry=1,0118521020-P-0-01,97.1,0.8
109,reentry=1,0205802600-0-11,97.9,1.33
110,reentry=1,0118711020-0-11,99.23,0.8
111,reentry=1,0118991020-A-0-01,100.03,0.8
112,reentry=1,0118981020-C-0-01,100.83,0.8
113,reentry=1,0119321020-0-01,101.63,0.8
114,reentry=1,0118511020-P-0-01,102.43,0.8
115,reentry=1,0703101100-0-01,103.23,0.8
116,reentry=1,0204582740-0-01,104.03,1.33
117,reentry=1,0118921020-0-01,105.36,0.8
118,reentry=1,0118531020-P-0-01,106.16,0.8
119,reentry=1,0703081100-0-01,106.96,0.8
120,reentry=1,0118661020-0-01,107.76,0.8
121,reentry=1,0118651020-0-01,108.56,0.8
122,reentry=1,0118911020-0-01,109.36,0.8
123,reentry=1,0703151100-0-01,110.16,0.8
124,reentry=1,0304001100-0-01,110.96,0.8
125,reentry=2,0204582740-0-02,126.35,1.33
126,reentry=2,0703111100-0-02,131.51,0.8
127,reentry=2,0206652600-0-02,132.31,1.33
128,reentry=2,0703101100-0-02,145.31,0.8
129,reentry=2,0703151100-0-02,161.26,0.8
BD-S006
ParallelMachine=0
,2.13,30
,,,reentry=1,0205782740-0-01,
,32.13,30
,,,reentry=1,0118721020-0-01,
,,,reentry=1,0118731020-0-02,
,,,reentry=1,9800257701-0-03,
,67.51,30
,,,reentry=2,9800257701-0-01,
,,,reentry=1,0118671020-0-02,
,,,reentry=1,0703061100-0-03,
,97.51,30
,,,reentry=1,0118701020-0-01,
,,,reentry=1,0206212680-0-02,
,,,reentry=1,0703111100-0-03,
,133.64,30
,,,reentry=2,0206652600-0-01,
ParallelMachine=1
,4.53,30
,,,reentry=1,0703131100-0-01,
,34.53,30
,,,reentry=1,0703121100-0-01,
,,,reentry=1,0119211020-D-0-02,
,70.26,30
,,,reentry=2,0206642600-0-01,
,,,reentry=1,0119181020-0-02,
,100.26,30
,,,reentry=1,0205792740-0-01,
,,,reentry=1,0206652600-0-02,
,,,reentry=1,0206272680-0-03,
,130.26,30
,,,reentry=1,0703151100-0-01,
ParallelMachine=2
,5.33,30
,,,reentry=1,0118741020-0-01,
,37.66,30
,,,reentry=1,0206642600-0-01,
,67.66,30
,,,reentry=1,0118681020-0-01,
,,,reentry=1,0118841020-0-02,
,,,reentry=1,0118851020-0-03,
,97.66,30
,,,reentry=1,0206222680-0-01,
,,,reentry=1,0206252680-0-02,
,,,reentry=1,0206232680-0-03,
,127.66,30
,,,reentry=1,0703081100-0-01,
,,,reentry=1,0118661020-0-02,
ParallelMachine=3
,13.33,30
,,,reentry=1,0119201020-0-01,
,43.33,30
,,,reentry=1,0703141100-0-01,
,,,reentry=1,0118751020-0-02,
,73.33,30
,,,reentry=1,0206902680-0-01,
,,,reentry=1,0118631020-0-02,
,103.33,30
,,,reentry=1,0206192680-0-01,
,,,reentry=1,0206202680-0-02,
,,,reentry=1,0601811220-0-03,
ParallelMachine=4
,21.06,30
,,,reentry=1,0205772740-0-01,
,51.06,30
,,,reentry=1,0119221020-D-0-01,
,,,reentry=1,0703011100-0-02,
,81.06,30
,,,reentry=1,0206282680-0-01,
,,,reentry=1,0119191020-0-02,
,,,reentry=1,0118691020-0-03,
,111.06,30
,,,reentry=1,0205802600-0-11,
,,,reentry=1,0118711020-0-12,
,,,reentry=1,0703101100-0-03,
BD-S007
1,reentry=1,0119261020-0-0,0.8,1.14,copper
2,reentry=1,0118811020-0-0,2.93,1.14,copper
3,reentry=1,0118401020-P-0-0,4.07,1.14,copper
4,reentry=1,0118411020-P-0-0,6.13,1.14,copper
5,reentry=1,0118431020-P-0-0,7.27,1.14,copper
6,reentry=1,0118441020-P-0-0,8.53,1.14,copper
7,reentry=1,0118451020-P-0-0,9.67,1.14,copper
8,reentry=1,0118471020-P-0-0,10.93,1.14,copper
9,reentry=1,0118501020-P-0-0,12.07,1.14,copper
10,reentry=1,0118461020-P-0-0,13.21,1.14,copper
11,reentry=1,0118821020-0-0,14.35,1.14,copper
12,reentry=1,0119251020-P-0-0,15.73,1.14,copper
13,reentry=1,0118951020-0-0,16.87,1.14,copper
14,reentry=1,0119291020-0-0,18.01,1.14,copper
15,reentry=1,0119281020-0-0,19.15,1.14,copper
16,reentry=1,0118931020-0-0,20.29,1.14,copper
17,reentry=1,0118961020-0-0,21.86,1.14,copper
18,reentry=1,0118971020-0-0,25.06,1.14,copper
19,reentry=1,0118881020-0-0,26.2,1.14,copper
20,reentry=1,0118871020-0-0,27.34,1.14,copper
21,reentry=1,0118861020-0-0,28.48,1.14,copper
22,reentry=1,0117981020-0-0,29.62,1.14,copper
23,reentry=1,0304051100-C-0-0,30.76,1.14,copper
24,reentry=2,0304051100-C-0-0,32.7,1.14,copper
25,reentry=1,0118941020-0-0,33.84,1.14,copper
26,reentry=1,0118761020-0-0,35.1,1.14,copper
27,reentry=2,0118761020-0-0,38.55,1.14,copper
28,reentry=1,0703071100-0-0,39.69,1.14,copper
29,reentry=2,0703071100-0-0,41.63,1.14,copper
30,reentry=1,0119001020-0-0,42.77,1.14,copper
31,reentry=1,0119331020-0-0,43.91,1.14,copper
32,reentry=1,0118781020-0-0,45.05,1.14,copper
33,reentry=1,0118801020-0-0,46.19,1.14,copper
34,reentry=1,0118791020-0-0,47.33,1.14,copper
35,reentry=1,0118551020-A-0-0,48.47,1.14,copper
36,reentry=1,0118571020-P-0-0,49.63,1.14,copper
37,reentry=2,0119331020-0-0,51.26,1.14,copper
38,reentry=2,0118781020-0-0,52.4,1.14,copper
39,reentry=2,0118801020-0-0,53.54,1.14,copper
40,reentry=2,0118791020-0-0,54.68,1.14,copper
41,reentry=2,0118551020-A-0-0,55.82,1.14,copper
42,reentry=2,0118571020-P-0-0,56.96,1.14,copper
43,reentry=1,0118771020-0-0,58.1,1.14,copper
44,reentry=2,0118771020-0-0,59.85,1.14,copper
45,reentry=1,0601711100-A-0-0,60.99,1.14,copper
46,reentry=1,0118421020-A-0-0,62.13,1.14,copper
47,reentry=2,0118421020-A-0-0,63.88,1.14,copper
48,reentry=1,0601681100-Fe-0-0,65.02,1.14,copper
49,reentry=1,0119301020-0-0,66.16,1.14,copper
50,reentry=2,0119301020-0-0,68.35,1.14,copper
51,reentry=1,0118831020-0-0,69.49,1.14,copper
52,reentry=1,0304021100-Fe-0-0,70.63,1.14,copper
53,reentry=1,0304031100-0-0,71.77,1.14,copper
