BD-S002,,,,,,
BD-S003,,,,,,
BD-S004,,,,,,
1,reentry=1,0119331020-0-01,0,0.5,,
2,reentry=1,0118781020-0-01,0.5,0.5,,
3,reentry=1,0118791020-0-01,1,0.5,,
4,reentry=1,0118801020-0-01,1.5,0.5,,
BD-S005,,,,,,
1,reentry=1,0118651020-0-01,0,0.8,,
2,reentry=1,0119331020-0-01,0.8,0.8,,
3,reentry=1,9800257701-0-01,1.6,0.8,,
4,reentry=1,0703061100-0-01,2.4,0.8,,
5,reentry=1,0304031100-0-01,3.2,0.8,,
6,reentry=1,0304001100-0-01,4,0.8,,
7,reentry=1,0206642600-0-01,4.8,1.33,,
8,reentry=1,0206652600-0-01,6.13,1.33,,
9,reentry=1,0118681020-0-01,7.46,0.8,,
10,reentry=1,0117981020-0-01,8.26,0.8,,
11,reentry=1,0703071100-0-01,9.06,0.8,,
12,reentry=1,0118381020-P-0-01,9.86,0.8,,
13,reentry=2,0703071100-0-02,11.34,0.8,,
14,reentry=1,0118391020-P-0-01,12.14,0.8,,
15,reentry=1,0118481020-P-0-01,12.94,0.8,,
16,reentry=1,0118491020-P-0-01,13.74,0.8,,
17,reentry=1,0118401020-P-0-01,14.54,0.8,,
18,reentry=1,0118411020-P-0-01,15.34,0.8,,
19,reentry=1,0118431020-P-0-01,16.14,0.8,,
20,reentry=1,0118441020-P-0-01,16.94,0.8,,
21,reentry=1,0118451020-P-0-01,17.74,0.8,,
22,reentry=1,0118461020-P-0-01,18.54,0.8,,
23,reentry=1,0118471020-P-0-01,19.34,0.8,,
24,reentry=1,0118501020-P-0-01,20.14,0.8,,
25,reentry=1,0601711100-A-0-01,20.94,0.8,,
26,reentry=1,0601681100-Fe-0-01,21.74,0.8,,
27,reentry=1,0119301020-0-01,22.54,0.8,,
28,reentry=1,0204582740-0-01,23.34,1.33,,
29,reentry=1,0118841020-0-01,24.67,0.8,,
30,reentry=2,0601711100-A-0-02,25.6,0.8,,
31,reentry=2,0601681100-Fe-0-02,26.74,0.8,,
32,reentry=1,0118851020-0-01,27.54,0.8,,
33,reentry=1,0118701020-0-01,28.34,0.8,,
34,reentry=1,0118691020-0-01,29.14,0.8,,
35,reentry=1,0118711020-0-11,29.94,0.8,,
36,reentry=1,0118781020-0-01,30.74,0.8,,
37,reentry=1,0118791020-0-01,31.54,0.8,,
38,reentry=1,0119321020-0-01,32.34,0.8,,
39,reentry=1,0118771020-0-01,33.14,0.8,,
40,reentry=1,0601811220-0-01,33.94,0.8,,
41,reentry=1,0118671020-0-01,34.74,0.8,,
42,reentry=2,0206642600-0-02,36.13,1.33,,
43,reentry=2,0206652600-0-02,37.46,1.33,,
44,reentry=1,0118661020-0-01,38.79,0.8,,
45,reentry=1,0118931020-0-01,39.59,0.8,,
46,reentry=2,0204582740-0-02,40.61,1.33,,
47,reentry=1,0118861020-0-01,41.94,0.8,,
48,reentry=1,0119001020-0-01,42.74,0.8,,
49,reentry=1,0118881020-0-01,43.54,0.8,,
50,reentry=1,0703031100-0-01,44.34,0.8,,
51,reentry=1,0118731020-0-01,45.14,0.8,,
52,reentry=1,0118741020-0-01,45.94,0.8,,
53,reentry=1,0118631020-0-01,46.74,0.8,,
54,reentry=1,0118721020-0-01,47.54,0.8,,
55,reentry=1,0118801020-0-01,48.34,0.8,,
56,reentry=1,0118511020-P-0-01,49.14,0.8,,
57,reentry=1,0703021100-0-01,49.94,0.8,,
58,reentry=1,0206272680-0-01,50.74,1.33,,
59,reentry=1,0119201020-0-01,52.07,0.8,,
60,reentry=1,0703111100-0-01,52.87,0.8,,
61,reentry=1,0703101100-0-01,53.67,0.8,,
62,reentry=1,0703121100-0-01,54.47,0.8,,
63,reentry=1,0703131100-0-01,55.27,0.8,,
64,reentry=1,0703011100-0-01,56.07,0.8,,
65,reentry=1,0119191020-0-01,56.87,0.8,,
66,reentry=1,0119181020-0-01,57.67,0.8,,
67,reentry=1,0118761020-0-01,58.47,0.8,,
68,reentry=1,0119251020-P-0-01,59.27,0.8,,
69,reentry=1,0703171100-0-01,60.07,0.8,,
70,reentry=1,0703161100-0-01,60.87,0.8,,
71,reentry=1,0304051100-C-0-01,61.67,0.8,,
72,reentry=1,0304041100-0-01,62.47,0.8,,
73,reentry=1,0118421020-A-0-01,63.27,0.8,,
74,reentry=1,0118571020-P-0-01,64.07,0.8,,
75,reentry=1,0118551020-A-0-01,64.87,0.8,,
76,reentry=1,0119311020-0-01,65.67,0.8,,
77,reentry=1,0304021100-Fe-0-01,66.47,0.8,,
78,reentry=1,0304061100-C-0-01,67.27,0.8,,
79,reentry=1,0205772740-0-01,68.07,1.33,,
80,reentry=1,0205782740-0-01,69.4,1.33,,
81,reentry=1,0119271020-0-01,70.73,0.8,,
82,reentry=2,0703171100-0-02,71.95,0.8,,
