0117981020-0-0,,2020-06-13T11:59:59
2,BD-S012,84.47,1
3,BD-S025,85.47,0
4,BD-S012,85.47,1
5,BD-S016,86.47,0.61
6,BD-S018,87.08,0
0118731020-0-0,,2020-06-19T11:59:59
0,BD-S005,35.93,0.8
1,BD-S006,50.47,30
2,BD-S012,82.47,1
3,BD-S025,83.47,0
4,BD-S012,83.47,1
5,BD-S016,84.47,0.61
6,BD-S018,85.08,0
0118741020-0-0,,2020-06-19T11:59:59
0,BD-S005,35.13,0.8
1,BD-S006,50.47,30
2,BD-S012,80.47,1
3,BD-S025,81.47,0
4,BD-S012,81.47,1
5,BD-S016,82.47,0.61
6,BD-S018,83.08,0
0118751020-0-0,,2020-06-24T11:59:59
0,BD-S005,34.33,0.8
1,BD-S006,36.4,30
2,BD-S012,72.8,1
3,BD-S025,73.8,0
4,BD-S012,73.8,1
5,BD-S016,74.8,0.61
6,BD-S018,75.41,0
0118761020-0-0,,2020-06-19T11:59:59
0,BD-S005,33.53,0.8
1,BD-S007,44.96,1.14
2,BD-S016,46.1,0.61
3,BD-S009,46.71,0
4,BD-S007,46.71,1.14
5,BD-S020,72.86,2.66
0118761020-0-2,,2020-06-19T11:59:59
0118771020-0-0,,2020-06-16T11:59:59
0,BD-S005,27.67,0.8
1,BD-S007,41.69,1.14
2,BD-S016,43.21,0.61
3,BD-S010,43.82,0
4,BD-S007,43.82,1.14
5,BD-S020,70.2,2.66
0118781020-0-0,,2020-06-16T11:59:59
0,BD-S004,1.5,0.5
1,BD-S005,26.87,0.8
2,BD-S007,37.05,1.14
3,BD-S016,39.01,0.61
4,BD-S010,39.62,0
5,BD-S007,40.55,1.14
6,BD-S020,67.54,2.66
0118791020-0-0,,2020-06-16T11:59:59
0,BD-S004,1,0.5
1,BD-S005,25.27,0.8
2,BD-S007,34.77,1.14
3,BD-S016,37.66,0.61
4,BD-S010,38.27,0
5,BD-S007,38.27,1.14
6,BD-S020,64.88,2.66
0118801020-0-0,,2020-06-18T11:59:59
0,BD-S004,0.5,0.5
1,BD-S005,24.47,0.8
2,BD-S007,31.51,1.14
3,BD-S016,33.02,0.61
4,BD-S010,33.63,0
5,BD-S007,33.63,1.14
6,BD-S020,35.46,2.66
0118811020-0-0,,2020-06-23T11:59:59
0,BD-S005,23.67,0.8
1,BD-S007,30.37,1.14
2,BD-S016,32.41,0.61
3,BD-S011,33.02,0
4,BD-S008,51.57,1.77
5,BD-S011,53.34,0
6,BD-S013,53.34,1.77
7,BD-S020,62.22,2.66
0118821020-0-0,,2020-06-23T11:59:59
0,BD-S005,22.07,0.8
1,BD-S007,29.23,1.14
2,BD-S016,30.37,0.61
3,BD-S011,30.98,0
4,BD-S008,49.8,1.77
5,BD-S011,51.57,0
6,BD-S013,51.57,1.77
7,BD-S020,59.56,2.66
0118831020-0-0,,2020-06-21T11:59:59
0,BD-S005,21.27,0.8
1,BD-S007,28.09,1.14
2,BD-S016,29.23,0.61
3,BD-S011,29.84,0
4,BD-S012,31.8,1
5,BD-S020,32.8,2.66
0118841020-0-0,,2020-06-17T11:59:59
0,BD-S005,20.47,0.8
1,BD-S006,21.27,30
2,BD-S012,51.47,1
3,BD-S016,52.47,0.61
4,BD-S025,53.08,0
5,BD-S007,53.22,1.14
6,BD-S020,56.9,2.66
0118851020-0-0,,2020-06-17T11:59:59
0,BD-S005,19.67,0.8
1,BD-S006,20.47,30
2,BD-S012,50.47,1
3,BD-S016,51.47,0.61
4,BD-S025,52.08,0
5,BD-S007,52.08,1.14
6,BD-S020,54.24,2.66
0118861020-0-0,,2020-06-17T11:59:59
0,BD-S005,18.87,0.8
1,BD-S007,26.95,1.14
2,BD-S016,28.09,0.61
3,BD-S011,28.7,0
4,BD-S008,48.03,1.77
5,BD-S020,51.58,2.66
0118871020-0-0,,2020-06-24T11:59:59
0,BD-S005,18.07,0.8
1,BD-S007,25.81,1.14
2,BD-S016,26.95,0.61
3,BD-S011,27.56,0
4,BD-S008,46.26,1.77
5,BD-S020,48.92,2.66
0118881020-0-0,,2020-06-17T11:59:59
0,BD-S005,17.27,0.8
1,BD-S007,24.67,1.14
2,BD-S016,25.81,0.61
3,BD-S011,26.42,0
4,BD-S008,44.49,1.77
5,BD-S020,46.26,2.66
0118911020-0-0,,2020-06-22T11:59:59
0,BD-S005,16.47,0.8
1,BD-S007,23.53,1.14
