0117981020-0-0,,2020-06-13T11:59:59,,,,,,,,,,
0,BD-S005,12.8,0.8,,,,,,,,,
1,BD-S007,17.57,1.14,,,,,,,,,
2,BD-S016,21.91,2.66,,,,,,,,,
0118541020-P-0-0,,2020-06-23T11:59:59,,,,,,,,,,
0,BD-S005,13.6,0.8,,,,,,,,,
1,BD-S007,18.71,1.14,,,,,,,,,
2,BD-S016,24.57,2.66,,,,,,,,,
0118551020-A-0-0,,2020-06-20T11:59:59,,,,,,,,,,
0,BD-S005,14.4,0.8,,,,,,,,,
1,BD-S007,19.85,1.14,,,,,,,,,
2,BD-S016,27.23,0.61,,,,,,,,,
3,BD-S010,27.84,0,,,,,,,,,
4,BD-S007,27.84,1.14,,,,,,,,,
5,BD-S020,28.98,2.66,,,,,,,,,
0118571020-P-0-0,,2020-06-20T11:59:59,,,,,,,,,,
0,BD-S005,15.2,0.8,,,,,,,,,
1,BD-S007,20.99,1.14,,,,,,,,,
2,BD-S016,27.84,0.61,,,,,,,,,
3,BD-S010,28.45,0,,,,,,,,,
4,BD-S007,28.98,1.14,,,,,,,,,
5,BD-S020,31.64,2.66,,,,,,,,,
0118631020-0-0,,2020-06-19T11:59:59,,,,,,,,,,
0,BD-S005,16,0.8,,,,,,,,,
1,BD-S006,16.8,30,,,,,,,,,
2,BD-S012,46.8,1,,,,,,,,,
3,BD-S025,47.8,0,,,,,,,,,
4,BD-S012,47.8,1,,,,,,,,,
5,BD-S016,48.8,0.61,,,,,,,,,
6,BD-S018,49.41,0,,,,,,,,,
0118641020-0-0,,2020-06-20T11:59:59,,,,,,,,,,
0118651020-0-0,,2020-03-30T11:59:59,,,,,,,,,,
0,BD-S005,16.8,0.8,,,,,,,,,
1,BD-S007,22.13,1.14,,,,,,,,,
2,BD-S011,23.27,0,,,,,,,,,
3,BD-S007,23.27,1.14,,,,,,,,,
4,BD-S020,24.41,2.66,,,,,,,,,
0118661020-0-0,,2020-06-18T11:59:59,,,,,,,,,,
0,BD-S005,17.6,0.8,,,,,,,,,
1,BD-S006,18.4,30,,,,,,,,,
2,BD-S012,48.8,1,,,,,,,,,
3,BD-S016,49.8,2.66,,,,,,,,,
0118671020-0-0,,2020-06-18T11:59:59,,,,,,,,,,
0,BD-S005,18.4,0.8,,,,,,,,,
1,BD-S006,19.2,30,,,,,,,,,
2,BD-S012,49.8,1,,,,,,,,,
3,BD-S025,50.8,0,,,,,,,,,
4,BD-S012,50.8,1,,,,,,,,,
5,BD-S020,51.8,2.66,,,,,,,,,
0118681020-0-0,,2020-06-14T11:59:59,,,,,,,,,,
0,BD-S005,19.2,0.8,,,,,,,,,
1,BD-S006,20,30,,,,,,,,,
2,BD-S012,51.8,1,,,,,,,,,
3,BD-S025,52.8,0,,,,,,,,,
4,BD-S012,52.8,1,,,,,,,,,
5,BD-S016,53.8,2.66,,,,,,,,,
0118691020-0-0,,2020-06-17T11:59:59,,,,,,,,,,
0,BD-S005,20,0.8,,,,,,,,,
1,BD-S006,20.8,30,,,,,,,,,
2,BD-S012,53.8,1,,,,,,,,,
3,BD-S025,54.8,0,,,,,,,,,
4,BD-S012,54.8,1,,,,,,,,,
5,BD-S016,56.46,0.61,,,,,,,,,
6,BD-S018,57.07,0,,,,,,,,,
0118701020-0-0,,2020-06-17T11:59:59,,,,,,,,,,
0,BD-S005,20.8,0.8,,,,,,,,,
1,BD-S006,46.8,30,,,,,,,,,
2,BD-S012,76.8,1,,,,,,,,,
3,BD-S025,77.8,0,,,,,,,,,
4,BD-S012,77.8,1,,,,,,,,,
5,BD-S016,78.8,0.61,,,,,,,,,
6,BD-S018,79.41,0,,,,,,,,,
0118711020-0-1,,2020-06-17T11:59:59,,,,,,,,,,
0,BD-S005,21.6,0.8,,,,,,,,,
1,BD-S006,46.8,30,,,,,,,,,
2,BD-S012,78.8,1,,,,,,,,,
3,BD-S025,79.8,0,,,,,,,,,
4,BD-S012,79.8,1,,,,,,,,,
5,BD-S016,80.8,0.61,,,,,,,,,
6,BD-S018,81.41,0,,,,,,,,,
0118711020-0-2,,2020-06-17T11:59:59,,,,,,,,,,
0118711020-0-3,,2020-06-17T11:59:59,,,,,,,,,,
0118721020-0-0,,2020-06-19T11:59:59,,,,,,,,,,
0,BD-S005,22.4,0.8,,,,,,,,,
1,BD-S006,46.8,30,,,,,,,,,
2,BD-S012,80.8,1,,,,,,,,,
3,BD-S025,81.8,0,,,,,,,,,
4,BD-S012,81.8,1,,,,,,,,,
5,BD-S016,82.8,0.61,,,,,,,,,
6,BD-S018,83.41,0,,,,,,,,,
0118731020-0-0,,2020-06-19T11:59:59,,,,,,,,,,
0,BD-S005,23.2,0.8,,,,,,,,,
1,BD-S006,48.4,30,,,,,,,,,
2,BD-S012,82.8,1,,,,,,,,,
3,BD-S025,83.8,0,,,,,,,,,
4,BD-S012,83.8,1,,,,,,,,,
5,BD-S016,84.8,0.61,,,,,,,,,
6,BD-S018,85.41,0,,,,,,,,,
0118741020-0-0,,2020-06-19T11:59:59,,,,,,,,,,
0,BD-S005,24,0.8,,,,,,,,,
1,BD-S006,48.4,30,,,,,,,,,
2,BD-S012,84.8,1,,,,,,,,,
3,BD-S025,85.8,0,,,,,,,,,
4,BD-S012,85.8,1,,,,,,,,,
5,BD-S016,86.8,0.61,,,,,,,,,
6,BD-S018,87.41,0,,,,,,,,,
0118751020-0-0,,2020-06-24T11:59:59,,,,,,,,,,
0,BD-S005,24.8,0.8,,,,,,,,,
1,BD-S006,48.4,30,,,,,,,,,
2,BD-S012,86.8,1,,,,,,,,,
3,BD-S025,87.8,0,,,,,,,,,
4,BD-S012,87.8,1,,,,,,,,,
5,BD-S016,88.8,0.61,,,,,,,,,
6,BD-S018,89.41,0,,,,,,,,,
0118761020-0-0,,2020-06-19T11:59:59,,,,,,,,,,
0,BD-S005,25.6,0.8,,,,,,,,,
1,BD-S007,26.4,1.14,,,,,,,,,
2,BD-S016,28.45,0.61,,,,,,,,,
3,BD-S009,29.06,0,,,,,,,,,
4,BD-S007,30.12,1.14,,,,,,,,,
5,BD-S020,34.3,2.66,,,,,,,,,
0118761020-0-2,,2020-06-19T11:59:59,,,,,,,,,,
0118771020-0-0,,2020-06-16T11:59:59,,,,,,,,,,
0,BD-S005,26.4,0.8,,,,,,,,,
1,BD-S007,31.26,1.14,,,,,,,,,
2,BD-S016,32.4,0.61,,,,,,,,,
3,BD-S010,33.01,0,,,,,,,,,
4,BD-S007,33.01,1.14,,,,,,,,,
5,BD-S020,36.96,2.66,,,,,,,,,
0118781020-0-0,,2020-06-16T11:59:59,,,,,,,,,,
0,BD-S004,0,0.5,,,,,,,,,
1,BD-S005,27.2,0.8,,,,,,,,,
2,BD-S007,34.15,1.14,,,,,,,,,
3,BD-S016,35.29,0.61,,,,,,,,,
4,BD-S010,35.9,0,,,,,,,,,
5,BD-S007,35.9,1.14,,,,,,,,,
6,BD-S020,39.62,2.66,,,,,,,,,
0118791020-0-0,,2020-06-16T11:59:59,,,,,,,,,,
0,BD-S004,0.5,0.5,,,,,,,,,
1,BD-S005,28,0.8,,,,,,,,,
2,BD-S007,37.04,1.14,,,,,,,,,
3,BD-S016,38.18,0.61,,,,,,,,,
4,BD-S010,38.79,0,,,,,,,,,
5,BD-S007,38.79,1.14,,,,,,,,,
6,BD-S020,42.28,2.66,,,,,,,,,
0118801020-0-0,,2020-06-18T11:59:59,,,,,,,,,,
0,BD-S004,1,0.5,,,,,,,,,
1,BD-S005,28.8,0.8,,,,,,,,,
2,BD-S007,39.93,1.14,,,,,,,,,
3,BD-S016,41.07,0.61,,,,,,,,,
4,BD-S010,41.68,0,,,,,,,,,
5,BD-S007,41.68,1.14,,,,,,,,,
6,BD-S020,44.94,2.66,,,,,,,,,
0118811020-0-0,,2020-06-23T11:59:59,,,,,,,,,,
