BD-S002
BD-S003
BD-S004
56,0118981020-C-0-0,reentry=1,2020-06-11T23:51:36,2020-06-12T00:39:35.999999
57,0118911020-0-0,reentry=1,2020-06-12T00:39:36,2020-06-12T01:27:35.999999
58,0118951020-0-0,reentry=1,2020-06-12T01:27:36,2020-06-12T02:15:35.999999
59,0703071100-0-0,reentry=2,2020-06-12T02:55:12,2020-06-12T03:43:11.999999
60,0118971020-0-0,reentry=1,2020-06-12T03:43:12,2020-06-12T04:31:11.999999
61,0206272680-0-0,reentry=1,2020-06-12T04:31:12,2020-06-12T05:50:59.999999
62,0118691020-0-0,reentry=1,2020-06-12T05:51:00,2020-06-12T06:38:59.999999
63,0119271020-0-0,reentry=1,2020-06-12T06:39:00,2020-06-12T07:26:59.999999
64,0118991020-A-0-0,reentry=1,2020-06-12T07:27:00,2020-06-12T08:14:59.999999
65,0703161100-0-0,reentry=1,2020-06-12T08:15:00,2020-06-12T09:02:59.999999
66,0119291020-0-0,reentry=1,2020-06-12T09:03:00,2020-06-12T09:50:59.999999
67,0703171100-0-0,reentry=1,2020-06-12T09:51:00,2020-06-12T10:38:59.999999
68,0119251020-P-0-0,reentry=1,2020-06-12T10:39:00,2020-06-12T11:26:59.999999
69,0118701020-0-0,reentry=1,2020-06-12T11:27:00,2020-06-12T12:14:59.999999
70,0304001100-0-0,reentry=1,2020-06-12T12:15:00,2020-06-12T13:02:59.999999
71,0304031100-0-0,reentry=1,2020-06-12T13:03:00,2020-06-12T13:50:59.999999
72,0703061100-0-0,reentry=1,2020-06-12T13:51:00,2020-06-12T14:38:59.999999
73,0703131100-0-0,reentry=1,2020-06-12T14:39:00,2020-06-12T15:26:59.999999
74,0703121100-0-0,reentry=1,2020-06-12T15:27:00,2020-06-12T16:14:59.999999
75,0703101100-0-0,reentry=1,2020-06-12T16:15:00,2020-06-12T17:02:59.999999
76,0118721020-0-0,reentry=1,2020-06-12T17:03:00,2020-06-12T17:50:59.999999
77,0703161100-0-0,reentry=2,2020-06-12T17:55:48,2020-06-12T18:43:47.999999
78,0206282680-0-0,reentry=1,2020-06-12T18:43:48,2020-06-12T20:03:35.999999
79,0206902680-0-0,reentry=1,2020-06-12T20:03:36,2020-06-12T21:23:23.999999
80,0118631020-0-0,reentry=1,2020-06-12T21:23:24,2020-06-12T22:11:23.999999
81,0118741020-0-0,reentry=1,2020-06-12T22:11:24,2020-06-12T22:59:23.999999
82,0703011100-0-0,reentry=1,2020-06-12T22:59:24,2020-06-12T23:47:23.999999
83,0206212680-0-0,reentry=1,2020-06-12T23:47:24,2020-06-13T01:07:11.999999
84,0206202680-0-0,reentry=1,2020-06-13T01:07:12,2020-06-13T02:26:59.999999
85,0205782740-0-0,reentry=1,2020-06-13T02:27:00,2020-06-13T03:46:47.999999
86,0206222680-0-0,reentry=1,2020-06-13T03:46:48,2020-06-13T05:06:35.999999
87,0119181020-0-0,reentry=1,2020-06-13T05:06:36,2020-06-13T05:54:35.999999
88,0119191020-0-0,reentry=1,2020-06-13T05:54:36,2020-06-13T06:42:35.999999
89,0118651020-0-0,reentry=1,2020-06-13T06:42:36,2020-06-13T07:30:35.999999
90,0205772740-0-0,reentry=1,2020-06-13T07:30:36,2020-06-13T08:50:23.999999
91,0119331020-0-0,reentry=1,2020-06-13T08:50:24,2020-06-13T09:38:23.999999
92,0119001020-0-0,reentry=1,2020-06-13T09:38:24,2020-06-13T10:26:23.999999
93,0703171100-0-0,reentry=2,2020-06-13T10:33:00,2020-06-13T11:20:59.999999
94,0118831020-0-0,reentry=1,2020-06-13T11:21:00,2020-06-13T12:08:59.999999
95,0206192680-0-0,reentry=1,2020-06-13T12:09:00,2020-06-13T13:28:47.999999
96,0703151100-0-0,reentry=1,2020-06-13T13:28:48,2020-06-13T14:16:47.999999
97,0206232680-0-0,reentry=1,2020-06-13T14:16:48,2020-06-13T15:36:35.999999
98,0205792740-0-0,reentry=1,2020-06-13T15:36:36,2020-06-13T16:56:23.999999
99,0703141100-0-0,reentry=1,2020-06-13T16:56:24,2020-06-13T17:44:23.999999
100,0118751020-0-0,reentry=1,2020-06-13T17:44:24,2020-06-13T18:32:23.999999
101,0206252680-0-0,reentry=1,2020-06-13T18:32:24,2020-06-13T19:52:11.999999
102,0119221020-D-0-0,reentry=1,2020-06-13T19:52:12,2020-06-13T20:40:11.999999
103,0205802600-0-1,reentry=1,2020-06-13T20:40:12,2020-06-13T21:59:59.999999
104,0119211020-D-0-0,reentry=1,2020-06-13T22:00:00,2020-06-13T22:47:59.999999
