BD-S002
BD-S003
BD-S004
1,reentry=1,0119331020-0-01,0,0.5
2,reentry=1,0118801020-0-01,0.5,0.5
3,reentry=1,0118791020-0-01,1,0.5
4,reentry=1,0118781020-0-01,1.5,0.5
BD-S005
1,reentry=1,9800257701-0-01,0,0.8
2,reentry=1,0118651020-0-01,0.8,0.8
3,reentry=1,0119331020-0-01,1.6,0.8
4,reentry=1,0304031100-0-01,2.4,0.8
5,reentry=1,0703061100-0-01,3.2,0.8
6,reentry=1,0304001100-0-01,4,0.8
7,reentry=1,0119251020-P-0-01,4.8,0.8
8,reentry=1,0119181020-0-01,5.6,0.8
9,reentry=1,0119011020-0-01,6.4,0.8
10,reentry=1,0119001020-0-01,7.2,0.8
11,reentry=1,0304051100-C-0-01,8,0.8
12,reentry=1,0118991020-A-0-01,8.8,0.8
13,reentry=1,0118981020-C-0-01,9.6,0.8
14,reentry=1,0118971020-0-01,10.4,0.8
15,reentry=1,0118961020-0-01,11.2,0.8
16,reentry=2,0304051100-C-0-02,12.47,0.8
17,reentry=1,0118951020-0-01,13.27,0.8
18,reentry=1,0118941020-0-01,14.07,0.8
19,reentry=1,0118931020-0-01,14.87,0.8
20,reentry=1,0118921020-0-01,15.67,0.8
21,reentry=1,0118911020-0-01,16.47,0.8
22,reentry=1,0118881020-0-01,17.27,0.8
23,reentry=1,0118871020-0-01,18.07,0.8
24,reentry=1,0118861020-0-01,18.87,0.8
25,reentry=1,0118851020-0-01,19.67,0.8
26,reentry=1,0118841020-0-01,20.47,0.8
27,reentry=1,0118831020-0-01,21.27,0.8
28,reentry=1,0118821020-0-01,22.07,0.8
29,reentry=1,0119201020-0-01,22.87,0.8
30,reentry=1,0118811020-0-01,23.67,0.8
31,reentry=1,0118801020-0-01,24.47,0.8
32,reentry=1,0118791020-0-01,25.27,0.8
33,reentry=1,0703071100-0-01,26.07,0.8
34,reentry=1,0118781020-0-01,26.87,0.8
35,reentry=1,0118771020-0-01,27.67,0.8
36,reentry=1,0119211020-D-0-01,28.47,0.8
37,reentry=1,0206652600-0-01,29.27,1.33
38,reentry=1,0703101100-0-01,30.6,0.8
39,reentry=1,0206642600-0-01,31.4,1.33
40,reentry=1,0119191020-0-01,32.73,0.8
41,reentry=1,0118761020-0-01,33.53,0.8
42,reentry=1,0118751020-0-01,34.33,0.8
43,reentry=1,0118741020-0-01,35.13,0.8
44,reentry=1,0118731020-0-01,35.93,0.8
45,reentry=2,0703071100-0-02,37.05,0.8
46,reentry=1,0118721020-0-01,37.85,0.8
47,reentry=1,0118711020-0-11,38.65,0.8
48,reentry=1,0118701020-0-01,39.45,0.8
49,reentry=1,0118691020-0-01,40.25,0.8
50,reentry=1,0118681020-0-01,41.05,0.8
51,reentry=1,0118671020-0-01,41.85,0.8
52,reentry=1,0118661020-0-01,42.65,0.8
53,reentry=1,0118631020-0-01,43.45,0.8
54,reentry=1,0118571020-P-0-01,44.25,0.8
55,reentry=1,0118551020-A-0-01,45.05,0.8
56,reentry=1,0118541020-P-0-01,45.85,0.8
57,reentry=1,0118531020-P-0-01,46.65,0.8
58,reentry=1,0118521020-P-0-01,47.45,0.8
59,reentry=1,0118511020-P-0-01,48.25,0.8
60,reentry=1,0118501020-P-0-01,49.05,0.8
61,reentry=1,0118491020-P-0-01,49.85,0.8
62,reentry=1,0206902680-0-01,50.65,1.33
63,reentry=1,0118481020-P-0-01,51.98,0.8
64,reentry=1,0118471020-P-0-01,52.78,0.8
65,reentry=1,0118461020-P-0-01,53.58,0.8
66,reentry=1,0118451020-P-0-01,54.38,0.8
67,reentry=1,0118441020-P-0-01,55.18,0.8
68,reentry=1,0118431020-P-0-01,55.98,0.8
69,reentry=1,0118421020-A-0-01,56.78,0.8
70,reentry=1,0118411020-P-0-01,57.58,0.8
71,reentry=1,0118401020-P-0-01,58.38,0.8
72,reentry=1,0118391020-P-0-01,59.18,0.8
73,reentry=1,0119321020-0-01,59.98,0.8
74,reentry=1,0119311020-0-01,60.78,0.8
75,reentry=1,0119301020-0-01,61.58,0.8
76,reentry=1,0304041100-0-01,62.38,0.8
77,reentry=1,0119261020-0-01,63.18,0.8
78,reentry=2,0206652600-0-02,64,1.33
79,reentry=1,0119221020-D-0-01,65.33,0.8
80,reentry=2,0206642600-0-02,66.4,1.33
81,reentry=1,0118381020-P-0-01,67.73,0.8
82,reentry=2,0703101100-0-02,69,0.8
83,reentry=1,0206282680-0-01,69.8,1.33
84,reentry=1,0206272680-0-01,71.13,1.33
85,reentry=1,0206252680-0-01,72.46,1.33
86,reentry=1,0117981020-0-01,73.79,0.8
87,reentry=2,0304041100-0-02,74.88,0.8
88,reentry=1,0206232680-0-01,75.68,1.33
89,reentry=1,0206222680-0-01,77.01,1.33
90,reentry=1,0206212680-0-01,78.34,1.33
91,reentry=1,0206202680-0-01,79.67,1.33
92,reentry=1,0206192680-0-01,81,1.33
93,reentry=1,0205802600-0-11,82.33,1.33
94,reentry=1,0205792740-0-01,83.66,1.33
95,reentry=1,0205782740-0-01,84.99,1.33
96,reentry=1,0205772740-0-01,86.32,1.33
97,reentry=1,0204582740-0-01,87.65,1.33
98,reentry=1,0703161100-0-01,88.98,0.8
99,reentry=1,0703151100-0-01,89.78,0.8
100,reentry=1,0703141100-0-01,90.58,0.8
101,reentry=2,0204582740-0-02,92.11,1.33
102,reentry=1,0703131100-0-01,93.44,0.8
103,reentry=1,0703121100-0-01,94.24,0.8
104,reentry=1,0703111100-0-01,95.04,0.8
105,reentry=1,0703081100-0-01,95.84,0.8
