BD-S002,,,,,
BD-S003,,,,,
BD-S004,,,,,
1,reentry=1,0118781020-0-01,0,0.5,
2,reentry=1,0118791020-0-01,0.5,0.5,
3,reentry=1,0118801020-0-01,1,0.5,
4,reentry=1,0119331020-0-01,1.5,0.5,
BD-S005,,,,,
1,reentry=1,0117981020-0-01,0,0.8,
2,reentry=1,0118381020-P-0-01,0.8,0.8,
3,reentry=1,0118391020-P-0-01,1.6,0.8,
4,reentry=1,0118401020-P-0-01,2.4,0.8,
5,reentry=1,0118411020-P-0-01,3.2,0.8,
6,reentry=1,0118421020-A-0-01,4,0.8,
7,reentry=1,0118431020-P-0-01,4.8,0.8,
8,reentry=1,0118441020-P-0-01,5.6,0.8,
9,reentry=1,0118451020-P-0-01,6.4,0.8,
10,reentry=1,0118461020-P-0-01,7.2,0.8,
11,reentry=1,0118471020-P-0-01,8,0.8,
12,reentry=1,0118481020-P-0-01,8.8,0.8,
13,reentry=1,0118491020-P-0-01,9.6,0.8,
14,reentry=1,0118501020-P-0-01,10.4,0.8,
15,reentry=1,0118511020-P-0-01,11.2,0.8,
16,reentry=1,0118521020-P-0-01,12,0.8,
17,reentry=1,0118531020-P-0-01,12.8,0.8,
18,reentry=1,0118541020-P-0-01,13.6,0.8,
19,reentry=1,0118551020-A-0-01,14.4,0.8,
20,reentry=1,0118571020-P-0-01,15.2,0.8,
21,reentry=1,0118631020-0-01,16,0.8,
22,reentry=1,0118651020-0-01,16.8,0.8,
23,reentry=1,0118661020-0-01,17.6,0.8,
24,reentry=1,0118671020-0-01,18.4,0.8,
25,reentry=1,0118681020-0-01,19.2,0.8,
26,reentry=1,0118691020-0-01,20,0.8,
27,reentry=1,0118701020-0-01,20.8,0.8,
28,reentry=1,0118711020-0-11,21.6,0.8,
29,reentry=1,0118721020-0-01,22.4,0.8,
30,reentry=1,0118731020-0-01,23.2,0.8,
31,reentry=1,0118741020-0-01,24,0.8,
32,reentry=1,0118751020-0-01,24.8,0.8,
33,reentry=1,0118761020-0-01,25.6,0.8,
34,reentry=1,0118771020-0-01,26.4,0.8,
35,reentry=1,0118781020-0-01,27.2,0.8,
36,reentry=1,0118791020-0-01,28,0.8,
37,reentry=1,0118801020-0-01,28.8,0.8,
38,reentry=1,0118811020-0-01,29.6,0.8,
39,reentry=1,0118821020-0-01,30.4,0.8,
40,reentry=1,0118831020-0-01,31.2,0.8,
41,reentry=1,0118841020-0-01,32,0.8,
42,reentry=1,0118851020-0-01,32.8,0.8,
