0117981020-0-0,,2020-06-13T11:59:59
5,BD-S019,2020-06-12T23:58:12,2020-06-13T02:37:47.999999
0118501020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-10T23:11:24,2020-06-10T23:59:23.999999
1,BD-S007,2020-06-11T14:42:00,2020-06-11T15:50:23.999999
2,BD-S016,2020-06-11T20:04:48,2020-06-11T20:41:23.999999
3,BD-S010,2020-06-11T20:41:24,2020-06-11T20:41:23.999999
4,BD-S024,2020-06-11T20:41:24,2020-06-11T22:41:23.999999
5,BD-S019,2020-06-11T22:41:24,2020-06-12T01:20:59.999999
0118511020-P-0-0,,2020-06-18T11:59:59
0,BD-S005,2020-06-10T10:39:36,2020-06-10T11:27:35.999999
1,BD-S007,2020-06-10T12:30:36,2020-06-10T13:38:59.999999
2,BD-S016,2020-06-10T15:10:12,2020-06-10T17:49:47.999999
0118521020-P-0-0,,2020-06-21T11:59:59
0,BD-S005,2020-06-14T02:00:00,2020-06-14T02:47:59.999999
1,BD-S007,2020-06-14T18:03:00,2020-06-14T19:11:23.999999
2,BD-S016,2020-06-14T20:42:36,2020-06-14T23:22:11.999999
0118531020-P-0-0,,2020-06-21T11:59:59
0,BD-S005,2020-06-14T06:47:24,2020-06-14T07:35:23.999999
1,BD-S007,2020-06-14T19:11:24,2020-06-14T20:19:47.999999
2,BD-S016,2020-06-15T00:00:36,2020-06-15T02:40:11.999999
0118541020-P-0-0,,2020-06-23T11:59:59
0,BD-S005,2020-06-10T00:00:00,2020-06-10T00:47:59.999999
1,BD-S007,2020-06-10T00:48:00,2020-06-10T01:56:23.999999
2,BD-S016,2020-06-10T01:56:24,2020-06-10T04:35:59.999999
0118551020-A-0-0,,2020-06-20T11:59:59
0,BD-S005,2020-06-14T11:51:36,2020-06-14T12:39:35.999999
1,BD-S007,2020-06-16T04:47:24,2020-06-16T05:55:47.999999
2,BD-S016,2020-06-16T07:27:00,2020-06-16T08:03:35.999999
3,BD-S010,2020-06-16T08:03:36,2020-06-16T08:03:35.999999
4,BD-S007,2020-06-16T08:03:36,2020-06-16T09:11:59.999999
5,BD-S020,2020-06-16T11:56:24,2020-06-16T14:35:59.999999
0118571020-P-0-0,,2020-06-20T11:59:59
0,BD-S005,2020-06-14T12:39:36,2020-06-14T13:27:35.999999
1,BD-S007,2020-06-16T05:55:48,2020-06-16T07:04:11.999999
2,BD-S016,2020-06-16T08:03:36,2020-06-16T08:40:11.999999
3,BD-S010,2020-06-16T08:40:12,2020-06-16T08:40:11.999999
4,BD-S007,2020-06-16T09:12:00,2020-06-16T10:20:23.999999
5,BD-S020,2020-06-16T18:40:12,2020-06-16T21:19:47.999999
0118631020-0-0,,2020-06-19T11:59:59
0,BD-S005,2020-06-12T21:23:24,2020-06-12T22:11:23.999999
1,BD-S006,2020-06-13T03:27:36,2020-06-14T09:27:35.999999
2,BD-S012,2020-06-14T09:27:36,2020-06-14T09:27:35.999999
3,BD-S025,2020-06-14T09:27:36,2020-06-14T09:27:35.999999
4,BD-S012,2020-06-14T09:27:36,2020-06-14T09:27:35.999999
