0117981020-0-0,,2020-06-13T11:59:59
3,BD-S025,115.26,0
4,BD-S012,115.26,1
5,BD-S016,126.81,0.61
6,BD-S018,127.42,0
0118701020-0-0,,2020-06-17T11:59:59
0,BD-S005,81.36,0.8
1,BD-S006,97.51,30
2,BD-S012,128.51,1
3,BD-S025,129.51,0
4,BD-S012,129.51,1
5,BD-S016,131.78,0.61
6,BD-S018,132.39,0
0118711020-0-1,,2020-06-17T11:59:59
0,BD-S005,99.23,0.8
1,BD-S006,111.06,30
2,BD-S012,142.31,1
3,BD-S025,143.31,0
4,BD-S012,143.31,1
5,BD-S016,146.23,0.61
6,BD-S018,146.84,0
0118711020-0-2,,2020-06-17T11:59:59
0118711020-0-3,,2020-06-17T11:59:59
0118721020-0-0,,2020-06-19T11:59:59
0,BD-S005,23.46,0.8
1,BD-S006,32.13,30
2,BD-S012,65.13,1
3,BD-S025,66.13,0
4,BD-S012,66.13,1
5,BD-S016,67.13,0.61
6,BD-S018,67.74,0
0118731020-0-0,,2020-06-19T11:59:59
0,BD-S005,21.86,0.8
1,BD-S006,32.13,30
2,BD-S012,62.13,1
3,BD-S025,63.13,0
4,BD-S012,63.13,1
5,BD-S016,64.13,0.61
6,BD-S018,64.74,0
0118741020-0-0,,2020-06-19T11:59:59
0,BD-S005,4.53,0.8
1,BD-S006,5.33,30
2,BD-S012,37.33,1
3,BD-S025,38.33,0
4,BD-S012,38.33,1
5,BD-S016,39.33,0.61
6,BD-S018,39.94,0
0118751020-0-0,,2020-06-24T11:59:59
0,BD-S005,38.46,0.8
1,BD-S006,43.33,30
2,BD-S012,73.33,1
3,BD-S025,74.33,0
4,BD-S012,74.33,1
5,BD-S016,75.33,0.61
6,BD-S018,75.94,0
0118761020-0-0,,2020-06-19T11:59:59
0,BD-S005,34.3,0.8
1,BD-S007,35.1,1.14
2,BD-S016,37.94,0.61
3,BD-S009,38.55,0
4,BD-S007,38.55,1.14
5,BD-S020,39.69,2.66
0118761020-0-2,,2020-06-19T11:59:59
0118771020-0-0,,2020-06-16T11:59:59
0,BD-S005,49.63,0.8
1,BD-S007,58.1,1.14
2,BD-S016,59.24,0.61
3,BD-S010,59.85,0
4,BD-S007,59.85,1.14
5,BD-S020,84.02,2.66
0118781020-0-0,,2020-06-16T11:59:59
0,BD-S004,0.5,0.5
1,BD-S005,44.03,0.8
2,BD-S007,45.05,1.14
3,BD-S016,51.26,0.61
4,BD-S010,51.87,0
5,BD-S007,52.4,1.14
6,BD-S020,56.83,2.66
0118791020-0-0,,2020-06-16T11:59:59
0,BD-S004,1.5,0.5
1,BD-S005,45.63,0.8
2,BD-S007,47.33,1.14
3,BD-S016,53.28,0.61
4,BD-S010,53.89,0
5,BD-S007,54.68,1.14
6,BD-S020,62.15,2.66
0118801020-0-0,,2020-06-18T11:59:59
0,BD-S004,1,0.5
1,BD-S005,44.83,0.8
2,BD-S007,46.19,1.14
3,BD-S016,52.67,0.61
4,BD-S010,53.28,0
5,BD-S007,53.54,1.14
